field_name,description,data_type,data_category,channel,can_be_negative
Google_Shopping_Conversions,Number of times the ad resulted in a conversion (final purchase),Absolute,Response,Google Shopping,No
Programmatic_Display_Ad_Spend,Marketing spend made on Programmatic display Ad,Absolute,Spend,Programmatic Display,No
Programmatic_Display_Ad_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,Programmatic Display,No
Programmatic_Display_Ad_Impressions,Number of times an Ad throuugh Programmatic Display reached user's screen,Absolute,Response,Programmatic Display,No
Programmatic_Display_Ad_Reach,Unique number of people/user who's screen was reached by the Ad display through the programmatic Ad investment,Absolute,Response,Programmatic Display,No
Amazon_Ads_Spend,Marketing spend made on Amazon,Absolute,Spend,Amazon,No
Amazon_Impressions,Number of times an Amazon Ad reached user's screen,Absolute,Response,Amazon,No
Amazon_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,Amazon,No
Amazon_Conversion_Perc,% times the ad resulted in a conversion (final purchase),Percentage,Response,Amazon,No
Amazon_Conversions,Number of times the ad resulted in a conversion (final purchase),Absolute,Response,Amazon,No
Flipkart_Ads_Spend,Marketing spend made on Flipkart,Absolute,Spend,Flipkart,No
Flipkart_Impressions,Number of times a Flipkart Ad reached user's screen,Absolute,Response,Flipkart,No
Flipkart_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,Flipkart,No
Flipkart_Conversion_Perc,% times the ad resulted in a conversion (final purchase),Percentage,Response,Flipkart,No
Flipkart_Conversions,Number of times the ad resulted in a conversion (final purchase),Absolute,Response,Flipkart,No
E_Commerce_Ad_Spend,Marketing spend made on E-Commerce platforms,Absolute,Spend,E Commerce,No
E_Commerce_Impressions,Number of times an Ad on some E-Commerce platform reached user's screen,Absolute,Response,E Commerce,No
E_Commerce_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,E Commerce,No
E_Commerce_Conversion_Perc,% times the ad resulted in a conversion (final purchase),Percentage,Response,E Commerce,No
E_Commerce_Conversions,Number of times the ad resulted in a conversion (final purchase),Absolute,Response,E Commerce,No
